Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Project ID,Project Name, Original Principal Amount ,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Firs Repaymen Dae,Las Repaymen Dae,Agreemen Signing Dae
France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,P037383,RECONSTRUCTION,"250,000,000",0,0,250000000,38000,01/11/1952,01/05/1977,09/05/1947
Denmark,,,,NON POOL,Fully Repaid,4.25,P037362,RECONSTRUCTION,"40,000,000",0,0,40000000,17771000,01/02/1953,01/08/1972,22/08/1947
Luxembourg,,,,NON POOL,Fully Repaid,4.25,P037451,RECONSTRUCTION,"12,000,000",238016.98,0,11761983.02,1619983.02,15/07/1949,15/07/1972,28/08/1947
Belgium,MINISTERE DES FINANCES,BE,Belgium,NON POOL,Fully Repaid,4.25,P037358,INDUSTRY,"16,000,000",0,0,16000000,0,01/09/1953,01/03/1969,01/03/1949
Belgium,MINISTERE DES FINANCES,BE,Belgium,NON POOL,Fully Repaid,4.5,P037359,GENERAL DEVELOPMENT,"30,000,000",0,0,30000000,3000,15/03/1957,15/09/1976,13/09/1951
Norway,,,,NON POOL,Fully Repaid,4.75,P037466,GENERAL DEVELOPMENT,"25,000,000",0,0,25000000,11337000,15/10/1957,15/04/1974,08/04/1954
Belgium,MINISTERE DES FINANCES,BE,Belgium,NON POOL,Fully Repaid,4.63,P037360,PORT,"20,000,000",0,0,20000000,825000,15/02/1965,15/08/1969,14/12/1954
Norway,,,,NON POOL,Fully Repaid,4.75,P037467,GENERAL DEVELOPMENT,"25,000,000",0,0,25000000,13911568.43,15/11/1960,15/05/1975,19/04/1955
Norway,,,,NON POOL,Fully Repaid,4.75,P037468,TOKKE POWER,"25,000,000",0,0,25000000,15183904.96,01/08/1961,01/08/1976,03/05/1956
Myanmar,Ministry of Planning and Finance,MM,Myanmar,NON POOL,Fully Repaid,4.75,P003336,RAILWAY,"5,350,000",3432.92,0,5346567.08,5346567.08,15/10/1959,15/04/1971,04/05/1956
Myanmar,Ministry of Planning and Finance,MM,Myanmar,NON POOL,Fully Repaid,4.75,P003335,RANGOON PORT,"14,000,000",57516.55,0,13942483.45,13742505.37,15/04/1960,15/04/1976,04/05/1956
Haiti,MINISTERE DE L'ECONOMIE ET DES FINANCES,HT,Haiti,NON POOL,Fully Repaid,4.5,P007270,HIGHWAY MAINTENANCE,"2,600,000",0,0,2600000,2214000,01/07/1961,01/07/1972,07/05/1956
Southern Africa,CENTRAL AFRICAN POWER CORPORAT,,,NON POOL,Fully Repaid,5,P003264,POWER II,"80,000,000",0,0,80000000,42554765.5,01/06/1963,01/12/1981,21/06/1956
Burundi,MINISTERE DES FINANCES,BE,Belgium,NON POOL,Fully Repaid,5.63,P000165,ROADS,"4,800,000",0,0,4800000,1832000,15/01/1961,15/07/1977,26/06/1957
Belgium,MINISTERE DES FINANCES,BE,Belgium,NON POOL,Fully Repaid,5.75,P037361,TRANSPORT,"10,000,000",0,0,10000000,310000,01/03/1963,01/09/1972,10/09/1957
Denmark,MINISTRY OF FINANCE,,,NON POOL,Fully Repaid,5.75,P037363,POWER,"20,000,000",0,0,20000000,10941326.8,01/08/1962,01/08/1978,04/02/1959
Norway,MINISTRY FINANCE AND CUSTOMS,,,NON POOL,Fully Repaid,6,P037469,POWER,"20,000,000",0,0,20000000,11458089.56,15/03/1964,15/09/1984,08/07/1959
Mauritania,Ministry of Economy and Finance,MR,Mauritania,NON POOL,Fully Repaid,6.25,P001813,MIFERMA IRON ORE MIN,"66,000,000",0,0,66000000,2645791.5,01/01/1966,01/07/1975,17/03/1960
Norway,MINISTRY FINANCE AND CUSTOMS,,,NON POOL,Fully Repaid,5.75,P037470,TOKKE POWER EXPANSION,"25,000,000",0,0,25000000,18581754.24,15/11/1964,15/11/1985,02/12/1960
Myanmar,SECRETARY TO THE GOVERNMENT OF,MM,Myanmar,NON POOL,Fully Repaid,5.75,P003337,RAILWAY II,"14,000,000",165106.71,0,13834893.29,11289893.29,01/03/1964,01/03/1977,16/01/1961
Denmark,MINISTRY OF FINANCE,,,NON POOL,Fully Repaid,5.5,P037364,POWER,"25,000,000",0,0,25000000,15999839.74,01/02/1967,01/08/1983,24/07/1963
Malta,MINISTRY OF FINANCE,GB,United Kingdom,NON POOL,Fully Repaid,5.5,P005346,INDUSTRIAL RESEARCH,"7,500,000",1459920.43,0,6040079.57,34079.57,15/04/1966,15/04/1983,06/09/1963
Norway,MINISTRY FINANCE AND CUSTOMS,,,NON POOL,Fully Repaid,5.5,P037471,RANA-TROLLHEIM POWER,"25,000,000",0,0,25000000,24498082.9,15/11/1968,15/11/1988,15/10/1963
New Zealand,SECRETARY TO THE TREASURY,,,NON POOL,Fully Repaid,5.5,P037461,HARBOUR,"7,800,000",1073126,0,6726874,4414966.09,15/02/1968,15/02/1989,12/11/1963
