Project ID,Country,Borrower,Guarantor,Type,Status,Interest Rate,Project Name,Original Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Firs Repaymen Date,Last Repaymen Date,Agreemen Signing Date,
P037383,France,CREDIT NATIONAL,FR,NON POOL,Fully Repaid,4.25,RECONSTRUCTION,250000000,0,0,250000000,38000,01/11/1952,01/05/1977,09/05/1947,1
P037362,Denmark,,,NON POOL,Fully Repaid,4.25,RECONSTRUCTION,40000000,0,0,40000000,17771000,01/02/1953,01/08/1972,22/08/1947,3
P037451,Luxembourg,,,NON POOL,Fully Repaid,4.25,RECONSTRUCTION,12000000,238016.98,0,11761983.02,1619983.02,15/07/1949,15/07/1972,28/08/1947,1
P037358,Belgium,MINISTERE DES FINANCES,BE,NON POOL,Fully Repaid,4.25,INDUSTRY,16000000,0,0,16000000,0,01/09/1953,01/03/1969,01/03/1949,4
P037359,Belgium,MINISTERE DES FINANCES,BE,NON POOL,Fully Repaid,4.5,GENERAL DEVELOPMENT,30000000,0,0,30000000,3000,15/03/1957,15/09/1976,13/09/1951,4
P037466,Norway,,,NON POOL,Fully Repaid,4.75,GENERAL DEVELOPMENT,25000000,0,0,25000000,11337000,15/10/1957,15/04/1974,08/04/1954,6
P037360,Belgium,MINISTERE DES FINANCES,BE,NON POOL,Fully Repaid,4.63,PORT,20000000,0,0,20000000,825000,15/02/1965,15/08/1969,14/12/1954,4
P037467,Norway,,,NON POOL,Fully Repaid,4.75,GENERAL DEVELOPMENT,25000000,0,0,25000000,13911568.43,15/11/1960,15/05/1975,19/04/1955,6
P037468,Norway,,,NON POOL,Fully Repaid,4.75,TOKKE POWER,25000000,0,0,25000000,15183904.96,01/08/1961,01/08/1976,03/05/1956,6
P003336,Myanmar,Ministry of Planning and Finance,MM,NON POOL,Fully Repaid,4.75,RAILWAY,5350000,3432.92,0,5346567.08,5346567.08,15/10/1959,15/04/1971,04/05/1956,3
P003335,Myanmar,Ministry of Planning and Finance,MM,NON POOL,Fully Repaid,4.75,RANGOON PORT,14000000,57516.55,0,13942483.45,13742505.37,15/04/1960,15/04/1976,04/05/1956,3
P007270,Haiti,MINISTERE DE L'ECONOMIE ET DES FINANCES,HT,NON POOL,Fully Repaid,4.5,HIGHWAY MAINTENANCE,2600000,0,0,2600000,2214000,01/07/1961,01/07/1972,07/05/1956,1
P003264,Southern Africa,CENTRAL AFRICAN POWER CORPORAT,,NON POOL,Fully Repaid,5,POWER II,80000000,0,0,80000000,42554765.5,01/06/1963,01/12/1981,21/06/1956,2
P000165,Burundi,MINISTERE DES FINANCES,BE,NON POOL,Fully Repaid,5.63,ROADS,4800000,0,0,4800000,1832000,15/01/1961,15/07/1977,26/06/1957,1
P037361,Belgium,MINISTERE DES FINANCES,BE,NON POOL,Fully Repaid,5.75,TRANSPORT,10000000,0,0,10000000,310000,01/03/1963,01/09/1972,10/09/1957,4
P037363,Denmark,MINISTRY OF FINANCE,,NON POOL,Fully Repaid,5.75,POWER,20000000,0,0,20000000,10941326.8,01/08/1962,01/08/1978,04/02/1959,3
P037469,Norway,MINISTRY FINANCE AND CUSTOMS,,NON POOL,Fully Repaid,6,POWER,20000000,0,0,20000000,11458089.56,15/03/1964,15/09/1984,08/07/1959,6
P001813,Mauritania,Ministry of Economy and Finance,MR,NON POOL,Fully Repaid,6.25,MIFERMA IRON ORE MIN,66000000,0,0,66000000,2645791.5,01/01/1966,01/07/1975,17/03/1960,3
P037470,Norway,MINISTRY FINANCE AND CUSTOMS,,NON POOL,Fully Repaid,5.75,TOKKE POWER EXPANSION,25000000,0,0,25000000,18581754.24,15/11/1964,15/11/1985,02/12/1960,6
P003337,Myanmar,SECRETARY TO THE GOVERNMENT OF,MM,NON POOL,Fully Repaid,5.75,RAILWAY II,14000000,165106.71,0,13834893.29,11289893.29,01/03/1964,01/03/1977,16/01/1961,3
P037364,Denmark,MINISTRY OF FINANCE,,NON POOL,Fully Repaid,5.5,POWER,25000000,0,0,25000000,15999839.74,01/02/1967,01/08/1983,24/07/1963,3
P005346,Malta,MINISTRY OF FINANCE,GB,NON POOL,Fully Repaid,5.5,INDUSTRIAL RESEARCH,7500000,1459920.43,0,6040079.57,34079.57,15/04/1966,15/04/1983,06/09/1963,1
P037471,Norway,MINISTRY FINANCE AND CUSTOMS,,NON POOL,Fully Repaid,5.5,RANA-TROLLHEIM POWER,25000000,0,0,25000000,24498082.9,15/11/1968,15/11/1988,15/10/1963,6
P037461,New Zealand,SECRETARY TO THE TREASURY,,NON POOL,Fully Repaid,5.5,HARBOUR,7800000,1073126,0,6726874,4414966.09,15/02/1968,15/02/1989,12/11/1963,6
P037460,New Zealand,SECRETARY TO THE TREASURY,,NON POOL,Fully Repaid,5.5,POWER I,32500000,0,0,32500000,28777375.69,15/09/1966,15/03/1984,12/03/1964,6
P002387,Sierra Leone,SIERRA LEONE ELECTRICITY CORP.,SL,NON POOL,Fully Repaid,5.5,POWER,3800000,0,0,3800000,3310000,15/05/1967,15/11/1984,18/08/1964,5
P003267,Southern Africa,CENTRAL AFRICAN POWER CORPORAT,,NON POOL,Fully Repaid,5.5,POWER III,7700000,0,0,7700000,3160000,01/03/1968,01/09/1989,02/10/1964,2
P037463,New Zealand,SECRETARY TO THE TREASURY,,NON POOL,Fully Repaid,6.25,RAILWAYS I,42000000,865091.01,0,41134908.99,38532408.99,15/04/1970,15/10/1980,17/12/1965,6
P037462,New Zealand,SECRETARY TO THE TREASURY,,NON POOL,Fully Repaid,6.25,POWER II,20500000,4803103.49,0,15696896.51,15504396.51,15/03/1969,15/09/1980,17/12/1965,6
P001468,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,6,EDUCATION,4800000,270281.14,0,4529718.86,4529718.86,01/04/1977,01/04/1997,23/08/1967,5
P002388,Sierra Leone,SIERRA LEONE ELECTRICITY CORP.,SL,NON POOL,Fully Repaid,6.25,POWER II,3900000,0,0,3900000,3850000,15/02/1972,15/08/1988,05/08/1968,5
P001019,Guinea,Ministry of Economy and Finance,GN,NON POOL,Fully Repaid,6.5,BOKE ORE TRANSPORTAT,64500000,0,0,64500000,64500000,01/10/1973,01/10/1992,18/09/1968,3
P001470,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,6.5,ROADS & BRIDGES,3500000,0,0,3500000,3500000,15/10/1978,15/10/1998,12/11/1968,5
P001469,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,6.5,BEEF CATTLE DEVELOPM,2800000,0,0,2800000,2800000,15/04/1978,15/04/1991,14/02/1969,5
P002391,Sierra Leone,Ministry Of Finance,SL,NON POOL,Fully Repaid,7.25,BO KENEMA ROAD,3700000,0,0,3700000,3700000,01/04/1976,01/10/1992,29/10/1970,5
P002390,Sierra Leone,Ministry Of Finance,SL,NON POOL,Fully Repaid,8,BO KENEMA ROAD,2300000,0,0,2300000,2300000,01/04/1976,01/10/1992,20/01/1975,5
P037464,New Zealand,SECRETARY TO THE TREASURY,,NON POOL,Fully Repaid,7.25,RAILWAYS II,16000000,10512800.41,0,5487199.59,5323527.4,15/10/1973,15/10/1985,01/03/1971,6
P001020,Guinea,Ministry of Economy and Finance,GN,NON POOL,Fully Repaid,7.25,BOKE EXTENTION,9000000,0,0,9000000,9000000,01/10/1973,01/10/1992,25/06/1971,3
P037465,New Zealand,,,NON POOL,Fully Cancelled,7.25,DFC I,8000000,8000000,0,0,0,15/02/1979,15/02/1979,09/03/1972,6
P001474,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,7.25,HIGHWAYS III,15000000,0,0,15000000,15000000,15/04/1983,15/10/1998,17/01/1973,5
P001478,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,8,FORESTRY I,6750000,8838.79,0,6741161.21,6741161.21,15/05/1985,15/11/1999,23/12/1974,5
P009367,Bangladesh,MINISTRY OF FINANCE,BD,NON POOL,Fully Repaid,6.15,INLAND WATER TRANSPO,54895633,0,0,54895633.38,54895633.38,01/01/1985,01/07/2004,01/07/1974,1
P002392,Sierra Leone,Ministry Of Finance,SL,NON POOL,Fully Repaid,8.5,INTEGRATED AGR.DEVT.,5000000,0,0,5000000,5000000,01/09/1980,01/03/2000,02/07/1975,5
P002832,Western Africa,CIMENTS DE L'AFRIQUE DE,3W,NON POOL,Fully Repaid,8.85,INDUSTRY II CIMAO,49500000,0,0,49500000,49500000,15/08/1981,15/02/1991,28/06/1976,4
P002831,Togo,Ministere Des Finances Et De L'Economie,TG,NON POOL,Fully Repaid,8.85,INDUSTRY II CIMAO,3500000,0,0,3500000,3500000,15/08/1981,15/02/1991,28/06/1976,1
P006064,"Bahamas, The",WATER AND SEWERAGE CORPORATION,,NON POOL,Fully Repaid,8.9,WATER SUPPLY & SEWER,10000000,0,0,10000000,10000000,01/09/1979,01/03/1996,10/09/1976,5
P001120,Western Africa,REGIE DES CHEMINS,3W,NON POOL,Fully Repaid,8,RAILWAYS,23000000,0,0,23000000,23000000,01/05/1982,01/11/1994,14/11/1977,4
P001825,Mauritania,SOCIETE NATIONALE INDUSTRIELLE,MR,NON POOL,Fully Repaid,7.9,IRON ORE GUELBS-PHAS,60000000,0,0,60000000,60000000,15/10/1984,15/04/1994,14/12/1979,3
P006065,"Bahamas, The",FINANCIAL SECRETARY,,POOL LOAN,Fully Repaid,9.6,TECHNICAL TRAINING,7000000,654262.4,0,6345737.6,6345737.6,15/12/1984,15/06/1996,08/05/1981,5
P006066,"Bahamas, The",FINANCIAL SECRETARY,,POOL LOAN,Fully Repaid,11.6,URBAN,5800000,93533.46,0,5706466.54,5706466.54,01/11/1985,01/05/1997,22/10/1982,5
P002998,Western Africa,BANQUE OUEST-AFRICAINE DE DEVELOPPEMENT,,POOL LOAN,Fully Repaid,6.61,BOAD II,6100000,565619.56,0,5534380.44,5534380.44,01/12/1987,01/06/2003,08/06/1983,4
P001836,Mauritania,SOCIETE NATIONALE INDUSTRIELLE,MR,POOL LOAN,Fully Repaid,5.01,SNIM REHAB,20000000,0,0,20000000,20000000,15/04/1989,15/10/2000,27/01/1986,3
P006067,"Bahamas, The",WATER AND SEWERAGE CORPORATION,,POOL LOAN,Fully Repaid,5.24,WTR & SEW II,10000000,0,0,10000000,10000000,15/05/1990,15/11/2001,11/03/1987,5
P006070,"Bahamas, The",FINANCIAL SECRETARY,,POOL LOAN,Fully Repaid,3.28,ED II,10000000,2800390.6,0,7199609.4,7199609.4,01/03/1994,01/09/2003,09/02/1989,5
P000010,Western Africa,BANQUE OUEST-AFRICAINE DE DEVELOPPEMENT,CI,POOL LOAN,Fully Repaid,7.96,BOAD,15000000,1767337.82,0,13232662.18,13232662.18,01/06/1995,01/12/2009,30/03/1990,4
P008386,Czech Republic,FEDERAL MINISTRY OF FINANCE,CZ,POOL LOAN,Fully Repaid,3.8,SAL I,300000000,0,0,300000000,300000000,15/03/1997,15/09/2006,31/07/1991,5
P001396,Lesotho,LESOTHO HIGHLANDS DEVELOPMENT AUTHORITY,LS,POOL LOAN,Fully Repaid,4.85,HIGHLAND WTR.I,110000000,41093022.06,0,68906977.94,68906977.94,01/11/1997,01/05/2009,16/09/1991,2
P008382,Czech Republic,CEZ A.S.,CZ,POOL LOAN,Fully Repaid,6.03,PWR & ENV IMPRVMT,24600000,0,0,24600000,24600000,15/08/1997,15/02/2007,17/07/1992,5
P008383,Czech Republic,CEZ A.S.,CZ,SNGL CRNCY,Fully Repaid,4.09,PWR & ENV IMPRVMT,76839026,43357455.69,0,33510372.82,33416144.86,15/08/1998,15/02/2007,17/07/1992,5
P008381,Czech Republic,CEZ A.S.,CZ,SCP EUR,Fully Repaid,4.09,PWR & ENV IMPRVMT,144560974,1265310.37,0,143295663.4,143295663.4,15/08/1998,15/02/2007,17/07/1992,5
P008378,Czech Republic,"CESKY TELECOM, A.S.",CZ,POOL LOAN,Fully Repaid,6.54,TELECOMMS,80000000,69719779.58,0,10280220.42,10280220.42,15/02/1999,15/08/2008,01/11/1993,5
P034093,Turkmenistan,CABINET OF MINISTERS,TM,POOL LOAN,Fully Repaid,6.09,TECH ASST,4202935,412776.03,0,3790159.01,3790159.01,01/05/2000,01/11/2014,05/10/1994,4
P034092,Turkmenistan,CABINET OF MINISTERS,TM,SNGL CRNCY,Fully Repaid,5.5,TECH ASST,20797065,13892485.78,0,6904579.18,6904579.18,15/05/2000,15/11/2014,05/10/1994,4
P006971,Dominica,MINISTRY OF FINANCE,DM,POOL LOAN,Fully Transferred,7.43,OECS WASTE MGMNT (SIM),0,0,0,0,0,01/01/2001,01/07/2012,11/05/1995,6
P006970,Dominica,MINISTRY OF FINANCE,DM,SNGL CRNCY,Fully Cancelled,0,OECS WASTE MGMNT (SIM),600000,600000,0,0,0,15/01/2001,15/07/2012,11/05/1995,6
P006969,Dominica,MINISTRY OF FINANCE,DM,SNGL CRNCY,Fully Repaid,0,DM-  BASIC EDUCATION REF,3070000,216092.23,0,2853907.77,2853907.77,15/08/1999,15/02/2011,14/03/1996,6
P034083,Turkmenistan,CABINET OF MINISTERS,TM,SNGL CRNCY,Fully Repaid,2.07,URBAN TRANSPORT,34200000,13099817.8,0,21100182.2,21100182.2,15/11/2002,15/05/2017,29/05/1997,4
P008867,Turkmenistan,CABINET OF MINISTERS,TM,SNGL CRNCY,Fully Repaid,4.89,WS & SANITATION,30300000,24195486.49,0,6104513.51,6104513.51,15/11/2002,15/05/2017,29/05/1997,4
P035730,Dominica,MINISTRY OF FINANCE,DM,SNGL CRNCY,Fully Repaid,0,OECS: Telecom Reform,600000,55002.38,0,544997.62,544997.62,15/12/2001,15/12/2013,08/06/1998,6
P001409,Lesotho,LESOTHO HIGHLANDS DEVELOPMENT AUTHORITY,LS,SNGL CRNCY,Fully Repaid,0.68,LS-Hiland Water IB (FY98),45000000,24556262.2,0,20443737.8,20443737.8,15/11/2003,15/05/2013,18/12/1998,2
P069633,Dominica,MINISTRY OF FINANCE,DM,SNGL CRNCY,Fully Repaid,0,Dominica Disaster Management,2530000,1444681.49,0,1085318.51,1085318.51,15/09/2002,15/03/2014,11/12/1998,6
P044305,Chad,Ministere des Finances et du Budget,TD,SNGL CRNCY,Fully Repaid,2.74,TD-TD/CM Pipeline (FY00),39500000,2139893.71,0,37360106.29,37360106.29,15/12/2005,15/06/2013,29/03/2001,1
P999186,Kosovo,Ministry of Finance and Economy,XK,FSL,Repaying,0,*DUMMY FOR * YUGOSLAVIA,385645134,0,0,385645134,390859651.3,15/03/2005,15/09/2031,17/12/2001,1
P077680,Dominica,MINISTRY OF FINANCE,DM,FSL,Fully Repaid,0,Emergency Recovery Project,960000,448180.3,0,511819.7,511819.7,15/05/2007,15/05/2016,19/04/2002,6
P086875,Namibia,MINISTRY OF FINANCE,NA,FSL,Fully Repaid,0,NA-Education & Training DPL (FY07),7500000,0,0,7496133.64,7869048.91,15/04/2010,15/04/2010,01/10/2007,2
P109333,Namibia,MINISTRY OF FINANCE,NA,FSL,Fully Repaid,0,NA-Support of ETSIP1 DPL2 (FY09),7500000,0,0,7578401.18,7487998.48,15/04/2011,15/04/2011,17/09/2010,2
P115464,Cabo Verde,MINISTRE DES FINANCES,CV,FSL,Repaying,0,CV-Recovery&Reform of Electricity Sector,53500000,56571.37,0,51633307.16,3634423.09,01/05/2017,01/11/2041,03/02/2012,1
P126791,Antigua and Barbuda,MINISTRY OF FINANCE,AG,FSL,Repaying,0,AG - Pub&Soc Sctr Transformation,10000000,7435745.73,0,2564254.27,44105.18,15/07/2018,15/01/2043,14/08/2013,2
P125032,Timor-Leste,H.E. Sara Lobo Brites,TP,FSL,Disbursing,0,Timor Leste Road Climate Resilience Proj,15000000,0,7543995.95,7456004.05,0,15/03/2022,15/03/2041,18/11/2013,1
P157715,Antigua and Barbuda,MINISTRY OF FINANCE,AG,FSL,Signed,0,OECS MSME Guarantee Facility Project,2000000,0,2000000,0,0,15/07/2024,15/07/2043,28/09/2018,2
P082309,Mozambique,BANCO DE MOCAMBIQUE,MZ,GURB,Terminated,,MZ-Southern Africa Regional Gas (FY04),10000000,10000000,0,0,0,15/12/2005,15/12/2014,19/05/2004,2
P082308,Mozambique,BANCO DE MOCAMBIQUE,MZ,GURB,Fully Cancelled,,MZ-Southern Africa Regional Gas (FY04),20000000,20000000,0,0,0,15/12/2005,15/12/2014,19/05/2004,2
P001018,Guinea,Ministry of Economy and Finance,GN,NON POOL,Fully Cancelled,6,BOKE ORE TRANSP ENGR,1700000,1700000,0,0,0,15/03/1968,15/03/1968,30/03/1966,3
