Project ID,Country,Status,Interest Rate,Amount
P037383,France, Repaid,4.25,"250,000"
P037362,Denmark, Repaid,4.25,"40,000"
P037451,Luxembourg, Repaid,4.25,"12,000"
P037358,Belgium, Repaid,4.25,"16,000"
P037359,Belgium, Repaid,4.5,"30,000"
P037466,Norway, Repaid,4.75,"25,000"
P037360,Belgium, Repaid,4.63,"20,000"
P037467,Norway, Repaid,4.75,"25,000"
P037468,Norway, Repaid,4.75,"25,000"
P003336,Myanmar, Repaid,4.75,"5,350"
P003335,Myanmar, Repaid,4.75,"14,000"
P007270,Haiti, Repaid,4.5,"2,600"
P003264,Southern Africa, Repaid,5,"80,000"
P000165,Burundi, Repaid,5.63,"4,800"
P037361,Belgium, Repaid,5.75,"10,000"
P037363,Denmark, Repaid,5.75,"20,000"
P037469,Norway, Repaid,6,"20,000"
P001813,Mauritania, Repaid,6.25,"66,000"
P037470,Norway, Repaid,5.75,"25,000"
P003337,Myanmar, Repaid,5.75,"14,000"
P037364,Denmark, Repaid,5.5,"25,000"
P005346,Malta, Repaid,5.5,"7,500"
P037471,Norway, Repaid,5.5,"25,000"
P037461,New Zealand, Repaid,5.5,"7,800"
P037460,New Zealand, Repaid,5.5,"32,500"
P002387,Sierra Leone, Repaid,5.5,"3,800"
P003267,Southern Africa, Repaid,5.5,"7,700"
P037463,New Zealand, Repaid,6.25,"42,000"
P037462,New Zealand, Repaid,6.25,"20,500"
P001468,Madagascar, Repaid,6,"4,800"
P002388,Sierra Leone, Repaid,6.25,"3,900"
P001019,Guinea, Repaid,6.5,"64,500"
P001470,Madagascar, Repaid,6.5,"3,500"
P001469,Madagascar, Repaid,6.5,"2,800"
P002391,Sierra Leone, Repaid,7.25,"3,700"
P002390,Sierra Leone, Repaid,8,"2,300"
P037464,New Zealand, Repaid,7.25,"16,000"
P001020,Guinea, Repaid,7.25,"9,000"
P037465,New Zealand, Cancelled,7.25,"8,000"
P001474,Madagascar, Repaid,7.25,"15,000"
P001478,Madagascar, Repaid,8,"6,750"
P009367,Bangladesh, Repaid,6.15,"54,896"
P002392,Sierra Leone, Repaid,8.5,"5,000"
P002832,Western Africa, Repaid,8.85,"49,500"
P002831,Togo, Repaid,8.85,"3,500"
P006064,"Bahamas, The", Repaid,8.9,"10,000"
P001120,Western Africa, Repaid,8,"23,000"
P001825,Mauritania, Repaid,7.9,"60,000"
P006065,"Bahamas, The", Repaid,9.6,"7,000"
P006066,"Bahamas, The", Repaid,11.6,"5,800"
P002998,Western Africa, Repaid,6.61,"6,100"
P001836,Mauritania, Repaid,5.01,"20,000"
P006067,"Bahamas, The", Repaid,5.24,"10,000"
P006070,"Bahamas, The", Repaid,3.28,"10,000"
P000010,Western Africa, Repaid,7.96,"15,000"
P008386,Czech Republic, Repaid,3.8,"300,000"
P001396,Lesotho, Repaid,4.85,"110,000"
P008382,Czech Republic, Repaid,6.03,"24,600"
P008383,Czech Republic, Repaid,4.09,"76,839"
P008381,Czech Republic, Repaid,4.09,"144,561"
P008378,Czech Republic, Repaid,6.54,"80,000"
P034093,Turkmenistan, Repaid,6.09,"4,203"
P034092,Turkmenistan, Repaid,5.5,"20,797"
P006971,Dominica, Transferred,7.43,#VALUE!
P006970,Dominica, Cancelled,0,600
P006969,Dominica, Repaid,0,"3,070"
P034083,Turkmenistan, Repaid,2.07,"34,200"
P008867,Turkmenistan, Repaid,4.89,"30,300"
P035730,Dominica, Repaid,0,600
P001409,Lesotho, Repaid,0.68,"45,000"
P069633,Dominica, Repaid,0,"2,530"
P044305,Chad, Repaid,2.74,"39,500"
P999186,Kosovo,Repaying,0,"385,645"
P077680,Dominica, Repaid,0,960
P086875,Namibia, Repaid,0,"7,500"
P109333,Namibia, Repaid,0,"7,500"
P115464,Cabo Verde,Repaying,0,"53,500"
P126791,Antigua and Barbuda,Repaying,0,"10,000"
P125032,Timor-Leste,Disbursing,0,"15,000"
P157715,Antigua and Barbuda,Signed,0,"2,000"
P082309,Mozambique,Terminated,,"10,000"
P082308,Mozambique, Cancelled,,"20,000"
P001018,Guinea, Cancelled,6,"1,700"
