Model,MPG,Cylinders,Displacement,Horsepower,Year,Origin
chevrolet chevelle malibu,18,8,307,130,70,US
buick skylark 320,15,8,350,165,70,US
plymouth satellite,18,8,318,150,70,US
amc rebel sst,16,8,304,150,70,US
ford torino,,,,140,70,US
ford galaxie 500,,,,198,70,US
chevrolet impala,,,,220,70,US
plymouth fury iii,,,,215,70,US
pontiac catalina,,,,225,70,US
amc ambassador dpl,,,,190,70,US
dodge challenger se,,,,170,70,US
plymouth 'cuda 340,,,,160,70,US
chevrolet monte carlo,,,,150,70,US
buick estate wagon (sw),,,,225,70,US
toyota corona mark ii,,,,95,70,Japan
plymouth duster,,,,95,70,US
amc hornet,18,6,199,97,70,US
ford maverick,21,6,200,85,70,US
datsun pl510,27,4,97,88,70,Japan
volkswagen 1131 deluxe sedan,26,4,97,46,70,Europe
peugeot 504,25,4,110,87,70,Europe
audi 100 ls,24,4,107,90,70,Europe
saab 99e,25,4,104,95,70,Europe
bmw 2002,26,4,121,113,70,Europe
amc gremlin,21,6,199,90,70,US
ford f250,10,8,360,215,70,US
chevy c20,10,8,307,200,70,US
dodge d200,11,8,318,210,70,US
hi 1200d,9,8,304,193,70,US
datsun pl510,27,4,97,88,71,Japan
chevrolet vega 2300,28,4,140,90,71,US
toyota corona,25,4,113,95,,Japan
amc gremlin,19,6,232,100,,US
plymouth satellite custom,16,6,225,105,,US
chevrolet chevelle malibu,17,6,250,100,,US
ford torino 500,19,6,250,88,,US
amc matador,18,6,232,100,,US
chevrolet impala,14,8,350,165,71,US
pontiac catalina brougham,14,8,400,175,71,US
ford galaxie 500,14,8,351,153,71,US
plymouth fury iii,14,8,318,150,71,US
dodge monaco (sw),12,8,383,180,71,US
ford country squire (sw),13,8,400,170,71,US
pontiac safari (sw),13,8,,,71,US
amc hornet sportabout (sw),18,6,,,71,US
chevrolet vega (sw),22,4,,,71,US
pontiac firebird,19,6,,,71,US
ford mustang,18,6,,,71,US
mercury capri 2000,23,4,,,71,US
opel 1900,28,4,,,71,Europe
peugeot 304,30,4,,,71,Europe
fiat 124b,30,4,88,76,71,Europe
toyota corolla 1200,31,4,71,65,71,Japan
datsun 1200,35,4,72,69,71,Japan
volkswagen model 111,27,4,97,60,71,Europe
plymouth cricket,26,4,91,70,71,US
toyota corona hardtop,24,4,113,95,72,Japan
dodge colt hardtop,25,4,97.5,80,72,US
volkswagen type 3,23,4,97,54,72,Europe
chevrolet vega,20,4,140,90,72,US
ford pinto runabout,21,4,122,86,72,US
chevrolet impala,13,8,350,165,72,US
pontiac catalina,14,8,400,175,72,US
plymouth fury iii,15,8,318,150,72,US
ford galaxie 500,14,8,351,153,72,US
amc ambassador sst,17,8,304,150,72,US
mercury marquis,11,8,429,208,72,US
buick lesabre custom,13,8,350,155,72,US
oldsmobile delta 88 royale,12,8,350,160,72,US
chrysler newport royal,13,8,400,190,72,US
mazda rx2 coupe,19,3,70,97,72,Japan
amc matador (sw),15,8,304,150,72,US
chevrolet chevelle concours (sw),13,8,307,130,72,US
ford gran torino (sw),13,8,302,140,72,US
plymouth satellite custom (sw),14,8,318,150,72,US
volvo 145e (sw),18,4,121,112,72,Europe
volkswagen 411 (sw),22,4,121,76,72,Europe
peugeot 504 (sw),21,4,120,87,72,Europe
renault 12 (sw),26,4,96,69,72,Europe
ford pinto (sw),22,4,122,86,72,US
datsun 510 (sw),28,4,97,92,72,Japan
toyouta corona mark ii (sw),23,4,120,97,72,Japan
dodge colt (sw),28,4,98,80,72,US
toyota corolla 1600 (sw),27,4,97,88,72,Japan
buick century 350,13,8,350,175,73,US
amc matador,14,8,304,150,73,US
chevrolet malibu,13,8,350,145,73,US
ford gran torino,14,8,302,137,73,US
dodge coronet custom,15,8,318,150,73,US
mercury marquis brougham,12,8,429,198,73,US
chevrolet caprice classic,13,8,400,150,73,US
ford ltd,13,8,351,158,73,US
plymouth fury gran sedan,14,8,318,150,73,US
chrysler new yorker brougham,13,8,440,215,73,US
buick electra 225 custom,12,8,455,225,73,US
amc ambassador brougham,13,8,360,175,73,US
plymouth valiant,18,6,225,105,73,US
chevrolet nova custom,16,6,250,100,73,US
amc hornet,18,6,232,100,73,US
ford maverick,18,6,250,88,73,US
plymouth duster,23,6,198,95,73,US
volkswagen super beetle,26,4,97,46,73,Europe
chevrolet impala,11,8,400,150,73,US
ford country,12,8,400,167,73,US
plymouth custom suburb,13,8,360,170,73,US
oldsmobile vista cruiser,12,8,350,180,73,US
amc gremlin,18,6,232,100,73,US
toyota carina,20,4,97,88,73,Japan
chevrolet vega,21,4,140,72,73,US
datsun 610,22,4,108,94,73,Japan
maxda rx3,18,3,70,90,73,Japan
ford pinto,19,4,122,85,73,US
mercury capri v6,21,6,155,107,73,US
fiat 124 sport coupe,26,4,98,90,73,Europe
chevrolet monte carlo s,15,8,350,145,73,US
pontiac grand prix,16,8,400,230,73,US
fiat 128,29,4,68,49,73,Europe
opel manta,24,4,116,75,73,Europe
audi 100ls,20,4,114,91,73,Europe
volvo 144ea,19,4,121,112,73,Europe
dodge dart custom,15,8,318,150,73,US
saab 99le,24,4,121,110,73,Europe
toyota mark ii,20,6,156,122,73,Japan
oldsmobile omega,11,8,350,180,73,US
plymouth duster,20,6,198,95,74,US
amc hornet,19,6,232,100,74,US
chevrolet nova,15,6,250,100,74,US
datsun b210,31,4,79,67,74,Japan
ford pinto,26,4,122,80,74,US
toyota corolla 1200,32,4,71,65,74,Japan
chevrolet vega,25,4,140,75,74,US
chevrolet chevelle malibu classic,16,6,250,100,74,US
amc matador,16,6,258,110,74,US
plymouth satellite sebring,18,6,225,105,74,US
ford gran torino,16,8,302,140,74,US
buick century luxus (sw),13,8,350,150,74,US
dodge coronet custom (sw),14,8,318,150,74,US
ford gran torino (sw),14,8,302,140,74,US
amc matador (sw),14,8,304,150,74,US
audi fox,29,4,98,83,74,Europe
volkswagen dasher,26,4,79,67,74,Europe
opel manta,26,4,97,78,74,Europe
toyota corona,31,4,76,52,74,Japan
datsun 710,32,4,83,61,74,Japan
dodge colt,28,4,90,75,74,US
fiat 128,24,4,90,75,74,Europe
fiat 124 tc,26,4,116,75,74,Europe
honda civic,24,4,120,97,74,Japan
subaru,26,4,108,93,74,Japan
fiat x1.9,31,4,79,67,74,Europe
plymouth valiant custom,19,6,225,95,75,US
chevrolet nova,18,6,250,105,75,US
mercury monarch,15,6,250,72,75,US
ford maverick,15,6,250,72,75,US
pontiac catalina,16,8,400,170,75,US
chevrolet bel air,15,8,350,145,75,US
plymouth grand fury,16,8,318,150,75,US
ford ltd,14,8,351,148,75,US
buick century,17,6,231,110,75,US
chevroelt chevelle malibu,16,6,250,105,75,US
amc matador,15,6,258,110,75,US
plymouth fury,18,6,225,95,75,US
buick skyhawk,21,6,231,110,75,US
chevrolet monza 2+2,20,8,262,110,75,US
ford mustang ii,13,8,302,129,75,US
toyota corolla,29,4,97,75,75,Japan
ford pinto,23,4,140,83,75,US
amc gremlin,20,6,232,100,75,US
pontiac astro,23,4,140,78,75,US
toyota corona,24,4,134,96,75,Japan
volkswagen dasher,25,4,90,71,75,Europe
datsun 710,24,4,119,97,75,Japan
ford pinto,18,6,171,97,75,US
volkswagen rabbit,29,4,90,70,75,Europe
amc pacer,19,6,232,90,75,US
audi 100ls,23,4,115,95,75,Europe
peugeot 504,23,4,120,88,75,Europe
volvo 244dl,22,4,121,98,75,Europe
saab 99le,25,4,121,115,75,Europe
honda civic cvcc,33,4,91,53,75,Japan
fiat 131,28,4,107,86,76,Europe
opel 1900,25,4,116,81,76,Europe
capri ii,25,4,140,92,76,US
dodge colt,26,4,98,79,76,US
renault 12tl,27,4,101,83,76,Europe
chevrolet chevelle malibu classic,17.5,8,305,140,76,US
dodge coronet brougham,16,8,318,150,76,US
amc matador,15.5,8,304,120,76,US
ford gran torino,14.5,8,351,152,76,US
plymouth valiant,22,6,225,100,76,US
chevrolet nova,22,6,250,105,76,US
ford maverick,24,6,200,81,76,US
amc hornet,22.5,6,232,90,76,US
chevrolet chevette,29,4,85,52,76,US
